animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A260096,DOG,S,4,0,MIX THAT LOOKS LIKE A BEAGLE,WHITE,BROWN,24,TRNSFR-EXT,RESCUE GRP,1/8/18,,,
A260102,DOG,N,12,0,MIX THAT LOOKS LIKE A SHIH TZU,WHITE,GRAY,24,TRNSFR-EXT,RESCUE GRP,1/8/18,DIED,AT SHELTER,1/12/18
A260104,DOG,N,1,0,MIX THAT LOOKS LIKE A GERM SHEPHERD,BRINDLE,BROWN,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,TIER 2,1/13/18
A259603,DOG,N,4,0,MIX THAT LOOKS LIKE A GERM SHEPHERD,BLACK,WHITE,64,OWNER SUR,EVALUATION,11/29/17,ADOPTION,TIER 3,1/14/18
A260015,CAT,S,7,0,DOMESTIC SH,TAB CLASSI,BROWN,33,OWNER SUR,EVALUATION,12/30/17,ADOPTION,NEW OWNER,1/14/18
A260105,DOG,N,1,3,MIX THAT LOOKS LIKE A RHOD RIDGEBACK,FAWN,,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,NEW OWNER,1/13/18
A259906,OTHER,F,2,0,GUINEA PIG,CREAM,,42,OWNER SUR,EVALUATION,12/21/17,ADOPTION,NEW OWNER,1/17/18
A260093,DOG,N,0,8,MIX THAT LOOKS LIKE A AMER ESKIMO,CREAM,WHITE,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,TIER 2,1/13/18
A257200,OTHER,S,0,2.5,RABBIT LH,WHITE,,201,OWNER SUR,EVALUATION,7/15/17,ADOPTION,NEW OWNER,1/18/18
A259617,CAT,S,2,0,DOMESTIC SH,TORTIE-DIL,,63,OWNER SUR,EVALUATION,11/30/17,ADOPTION,NEW OWNER,1/18/18
A260108,DOG,S,2,0,MIX THAT LOOKS LIKE A BEAGLE,RED,BLACK,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,NEW OWNER,1/14/18
A260103,DOG,S,1,0,MIX THAT LOOKS LIKE A WHIPPET,WHITE,TAN,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,NEW OWNER,1/14/18
A260100,DOG,N,1,0,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,WHITE,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,TIER 2,1/14/18
A260107,DOG,N,2,0,MIX THAT LOOKS LIKE A BEAGLE,BLACK,TAN,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,NEW OWNER,1/14/18
A260106,DOG,S,0,9,MIX THAT LOOKS LIKE A LABRADOR RETR,TAN,WHITE,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,NEW OWNER,1/14/18
A259889,CAT,S,5,0,DOMESTIC SH,TAB MACKRL,GRAY,44,OWNER SUR,EVALUATION,12/19/17,ADOPTION,NEW OWNER,1/19/18
